timestamp_ms,temp,hum,ldr
780026,25.80,62.00,3051
785025,25.80,61.00,3098
790025,25.80,61.00,3091
795025,25.80,61.00,3056
800025,25.80,61.00,3045
805025,25.80,61.00,3085
810025,25.80,61.00,3065
815025,25.80,61.00,2819
820025,25.80,61.00,3407
825026,25.80,62.00,3501
830025,25.80,63.00,2455
835025,25.80,64.00,2939
840025,25.80,65.00,1571
845025,25.80,67.00,1056
850025,26.20,69.00,2602
855025,26.20,71.00,2943
860025,26.20,71.00,1989
865025,26.20,71.00,1939
870025,26.20,72.00,3218
875025,26.20,72.00,2898
880025,26.20,71.00,2795
885025,26.20,71.00,2646
890025,26.20,70.00,2641
895025,26.20,70.00,2639
900025,26.20,69.00,2613
905025,26.20,69.00,2608
910025,26.20,69.00,2607
915025,26.20,69.00,2626
920025,26.20,69.00,2641
925025,26.20,69.00,2613
930025,26.20,69.00,2624
935025,26.20,69.00,2638
940025,26.20,69.00,2608
945025,26.20,69.00,2634
950025,26.20,69.00,2629
955025,26.20,69.00,2608
960025,26.20,69.00,2640
965025,26.20,69.00,2624
970025,26.20,69.00,2610
975025,26.20,68.00,2640
980025,26.20,68.00,2622
985001,26.20,68.00,2637
990025,26.20,68.00,2691
995025,26.20,68.00,2624
1000025,26.20,68.00,2608
1005025,26.20,68.00,2559
1010025,26.20,68.00,2581
1015025,26.20,68.00,2580
1020025,25.80,68.00,2607
1025025,25.80,68.00,2611
1030025,25.80,68.00,2621
1035025,25.80,68.00,2614
1040025,25.80,68.00,2586
1045025,25.80,68.00,2559
1050025,25.80,69.00,2591
1055025,25.80,69.00,2626
1060025,25.80,69.00,2594
1065025,25.80,69.00,2624
1070025,25.80,69.00,2609
1075025,25.80,69.00,2559
1080025,25.80,69.00,2615
1085025,25.80,69.00,2595
1090025,25.80,69.00,2559
1095025,25.80,69.00,2559
1100025,25.80,69.00,2559
1105025,25.80,69.00,2583
1110025,25.80,69.00,2597
1115025,25.90,69.00,2605
1120025,26.20,69.00,2623
1125025,26.20,69.00,4095
1130025,26.20,69.00,4095
1135025,26.20,69.00,3148
1140025,26.20,68.00,2613
1145025,26.20,68.00,2629
1150025,26.20,67.00,2693
1155025,25.80,65.00,2761
1160025,25.80,64.00,2721
1165025,25.80,64.00,2705
1170026,25.30,63.00,2713
1175026,25.30,63.00,2344
